TIME,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
US dollar,1.2848,1.3281,1.3285,1.1095,1.1069,1.1297,1.181,1.1195,1.1422,1.1827,1.053,1.0813
Bulgarian lev,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558,1.9558
Czech koruna,25.149,25.98,27.536,27.279,27.034,26.326,25.647,25.67,26.455,25.64,24.566,24.004
Danish krone,7.4437,7.4579,7.4548,7.4587,7.4452,7.4386,7.4532,7.4661,7.4542,7.437,7.4396,7.4509
Hungarian forint,289.25,296.87,308.71,310,311.44,309.19,318.89,325.3,351.25,358.52,391.29,381.85
Polish zloty,4.1847,4.1975,4.1843,4.1841,4.3632,4.257,4.2615,4.2976,4.443,4.5652,4.6861,4.542
Romanian leu,4.4593,4.419,4.4437,4.4454,4.4904,4.5688,4.654,4.7453,4.8383,4.9215,4.9313,4.9467
Swedish krona,8.7041,8.6515,9.0985,9.3535,9.4689,9.6351,10.2583,10.5891,10.4848,10.1465,10.6296,11.4788
Pound sterling,0.81087,0.84926,0.80612,0.72584,0.81948,0.87667,0.88471,0.87777,0.8897,0.8596,0.85276,0.86979
Bosnia and Herzegovina convertible mark,1.95583,1.95583,1.95583,1.95583,1.95583,1.95583,1.95583,1.95583,1.95583,1.95583,1.95583,1.95583
North Macedonian denar,61.5316,61.585,61.6244,61.611,61.5955,61.5747,61.5115,61.506,61.6751,61.636,61.6228,61.5587
Serbian dinar,113.1277,113.1369,117.306,120.7328,123.1179,121.3367,118.2716,117.8524,117.5777,117.5733,117.4588,117.2513
Turkish lira,2.3135,2.5335,2.9065,3.0255,3.3433,4.1206,5.7077,6.3578,8.0547,10.5124,17.4088,25.7597
Icelandic króna,160.73,162.38,154.86,146.3,133.59,120.54,127.89,137.28,154.59,150.15,142.24,149.13
Norwegian krone,7.4751,7.8067,8.3544,8.9496,9.2906,9.327,9.5975,9.8511,10.7228,10.1633,10.1026,11.4248
Swiss franc,1.2053,1.2311,1.2146,1.0679,1.0902,1.1117,1.155,1.1124,1.0705,1.0811,1.0047,0.9718
Japanese yen,102.49,129.66,140.31,134.31,120.2,126.71,130.4,122.01,121.85,129.88,138.03,151.99
Canadian dollar,1.2842,1.3684,1.4661,1.4186,1.4659,1.4647,1.5294,1.4855,1.53,1.4826,1.3695,1.4595
Russian rouble,39.9262,42.337,50.9518,68.072,74.1446,65.9383,74.0416,72.4553,82.7248,87.1527,,
